question,answer
What is AI?,AI stands for Artificial Intelligence.
What is Python?,Python is a programming language.
Who invented the internet?,The internet was invented by Vint Cerf and Bob Kahn.
What is Machine Learning?,Machine Learning is a subset of AI that allows systems to learn from data.
What is the capital of France?,The capital of France is Paris.
Who wrote 'To Kill a Mockingbird'?,The book 'To Kill a Mockingbird' was written by Harper Lee.
What is the speed of light?,"The speed of light is approximately 299,792 kilometers per second."
What is the largest planet in our solar system?,The largest planet in our solar system is Jupiter.
What is the chemical formula for water?,The chemical formula for water is H2O.
Who discovered gravity?,Gravity was discovered by Sir Isaac Newton.
